player_id,player_name,player_team,player_position,guernsey_number,picture,PctOfSeason,80s,games_played,kicks,marks,handballs,disposals,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,afl_fantasy_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,rating_points,shots_at_goal,80sr
CD_I998148,Aasta O'Connor,Geelong Cats,Ruck,14.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/998148.png?im=Scale,width=0.6,height=0.6",0.7033333333333333,4.22,6,9.715639810426541,4.028436018957346,3.7914691943127963,13.507109004739338,0.0,0.0,18.483412322274884,2.843601895734597,3.7914691943127963,1.6587677725118484,2.132701421800948,4.265402843601896,1.1848341232227488,2.3696682464454977,5.924170616113744,7.5829383886255926,0.0,0.23696682464454977,2.6066350710900474,0.0,0.0,72.74881516587678,0.7109004739336493,1.4218009478672986,1.6587677725118484,222.74881516587678,3.3175355450236967,3.080568720379147,0.0,0.0,0.23696682464454977,1.0
CD_I1017375,Abbey Green,Kangaroos,Interchange,26.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1017375.png?im=Scale,width=0.6,height=0.6",0.10714285714285714,0.75,2,10.666666666666666,2.6666666666666665,2.6666666666666665,13.333333333333334,2.6666666666666665,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,9.333333333333334,1.3333333333333333,5.333333333333333,2.6666666666666665,9.333333333333334,0.0,1.3333333333333333,2.6666666666666665,0.0,1.3333333333333333,53.333333333333336,0.0,0.0,4.0,230.66666666666666,4.0,1.3333333333333333,0.0,0.0,4.0,1.0
CD_I1018953,Aileen Gilroy,Kangaroos,Half-Back,8.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1018953.png?im=Scale,width=0.6,height=0.6",0.8142857142857143,5.7,7,8.771929824561402,2.1052631578947367,3.1578947368421053,11.929824561403509,0.0,0.0,0.0,1.4035087719298245,2.456140350877193,0.8771929824561403,0.0,1.5789473684210527,0.17543859649122806,0.3508771929824561,4.2105263157894735,6.842105263157895,0.0,0.0,3.6842105263157894,0.0,0.0,43.68421052631579,0.0,0.0,0.8771929824561403,234.21052631578948,2.280701754385965,5.7894736842105265,0.0,0.0,0.0,1.0
CD_I1013947,Ailish Considine,Adelaide Crows,Half-Forward,16.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1013947.png?im=Scale,width=0.6,height=0.6",0.46,2.7600000000000002,4,6.521739130434782,1.8115942028985506,2.1739130434782608,8.695652173913043,0.7246376811594202,0.3623188405797101,0.0,0.3623188405797101,0.7246376811594202,1.0869565217391304,0.0,3.623188405797101,0.3623188405797101,1.0869565217391304,1.0869565217391304,6.159420289855072,0.0,0.7246376811594202,0.7246376811594202,0.0,0.0,32.60869565217391,0.0,0.0,1.4492753623188404,142.39130434782606,3.260869565217391,2.1739130434782608,0.0,0.0,1.0869565217391304,1.0
CD_I1005432,Aimee Schmidt,GWS GIANTS,Interchange,11.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1005432.png?im=Scale,width=0.6,height=0.6",0.7285714285714286,5.1000000000000005,7,7.254901960784313,3.529411764705882,2.352941176470588,9.607843137254902,0.588235294117647,0.980392156862745,0.588235294117647,2.156862745098039,0.196078431372549,1.764705882352941,0.0,2.549019607843137,0.784313725490196,0.980392156862745,3.92156862745098,5.88235294117647,0.588235294117647,0.588235294117647,0.588235294117647,0.196078431372549,0.392156862745098,48.627450980392155,0.0,0.0,2.941176470588235,191.96078431372547,2.745098039215686,0.392156862745098,1.176470588235294,0.0,1.568627450980392,1.0
CD_I1005866,Ainslie Kemp,Melbourne,Interchange,36.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1005866.png?im=Scale,width=0.6,height=0.6",0.16,1.1199999999999999,2,7.142857142857143,0.0,5.357142857142858,12.500000000000002,0.0,0.0,0.0,2.678571428571429,0.0,5.357142857142858,0.0,4.464285714285714,1.7857142857142858,2.678571428571429,8.035714285714286,5.357142857142858,0.0,0.0,0.8928571428571429,0.0,0.8928571428571429,36.60714285714286,0.0,0.0,3.5714285714285716,258.92857142857144,5.357142857142858,1.7857142857142858,0.0,0.0,1.7857142857142858,1.0
CD_I1017238,Aishling Sheridan,Collingwood,Ruck,14.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1017238.png?im=Scale,width=0.6,height=0.6",0.7785714285714285,5.449999999999999,7,4.770642201834863,1.6513761467889911,7.889908256880735,12.660550458715598,0.3669724770642202,0.7339449541284404,0.0,2.7522935779816518,0.3669724770642202,1.4678899082568808,1.2844036697247707,2.9357798165137616,0.7339449541284404,1.8348623853211012,6.972477064220184,6.422018348623854,0.0,0.5504587155963303,0.1834862385321101,0.1834862385321101,0.3669724770642202,44.22018348623854,0.3669724770642202,0.9174311926605506,3.486238532110092,87.33944954128441,3.119266055045872,1.4678899082568808,0.5504587155963303,0.0,1.1009174311926606,1.0
CD_I1014034,Aisling McCarthy,Western Bulldogs,Rover,15.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1014034.png?im=Scale,width=0.6,height=0.6",0.8683333333333333,5.21,6,10.940499040307103,3.838771593090211,4.606525911708253,15.547024952015356,0.3838771593090211,0.5758157389635317,0.0,4.606525911708253,1.727447216890595,2.111324376199616,3.838771593090211,4.798464491362764,1.9193857965451055,2.111324376199616,8.637236084452976,6.333973128598848,0.19193857965451055,0.3838771593090211,0.5758157389635317,0.0,0.19193857965451055,70.44145873320538,0.9596928982725528,2.8790786948176583,2.495201535508637,235.31669865642993,4.414587332053743,2.6871401151631478,0.7677543186180422,0.0,0.9596928982725528,1.0
CD_I1017027,Akec Makur Chuot,Richmond,Half-Back,34.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1017027.png?im=Scale,width=0.6,height=0.6",0.8016666666666666,4.81,6,9.147609147609149,1.6632016632016633,2.702702702702703,11.85031185031185,0.0,0.0,0.0,2.494802494802495,4.5738045738045745,1.0395010395010396,0.2079002079002079,4.158004158004158,0.4158004158004158,0.6237006237006237,4.781704781704782,5.405405405405406,0.0,0.0,4.5738045738045745,0.4158004158004158,0.0,46.36174636174636,0.0,0.2079002079002079,0.6237006237006237,253.22245322245325,4.365904365904366,5.405405405405406,0.2079002079002079,0.0,0.0,1.0
CD_I1015053,Alana Porter,Collingwood,Back-Pocket,9.0,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1015053.png?im=Scale,width=0.6,height=0.6",0.8942857142857144,6.26,7,3.354632587859425,0.9584664536741214,2.3961661341853038,5.7507987220447285,0.0,0.0,0.0,1.9169329073482428,1.597444089456869,0.1597444089456869,0.3194888178913738,1.9169329073482428,0.3194888178913738,1.1182108626198084,3.354632587859425,2.7156549520766773,0.3194888178913738,0.0,2.07667731629393,0.0,0.0,22.364217252396166,0.0,0.3194888178913738,0.6389776357827476,64.53674121405751,1.1182108626198084,3.0351437699680512,0.0,0.0,0.0,1.0
