"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","extendedStats","team.name"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",14,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/281078.png?im=Scale,width=0.6,height=0.6","CHF","CD_I281078",FALSE,14,"Liam","Jones","CD_T30",NA,84,2,1,NA,4,2,6,1,0,4,4,1,5,1,1,1,0,0,83.3,1,1,0,49,0,0,66.7,6.8,NA,"2018-01-24T05:31:21.915+0000",1,1,0,3,NA,NA,NA,4,34,0,0,0,3,75,2,5,0,0,80,0,0,0,2,2,0,8,1,0,0,0,0,0,2,1,50,NA,NA,NA,"CD_I281078",FALSE,14,"Liam","Jones","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/220056.png?im=Scale,width=0.6,height=0.6","C","CD_I220056",FALSE,5,"Chris","Judd","CD_T30",NA,79,0,0,NA,16,5,21,5,1,6,11,10,21,7,1,0,0,1,71.4,3,2,2,93,3,4,0,16.1,NA,"2018-01-24T05:31:21.915+0000",5,2,1,0,NA,NA,NA,8,474,4,2,6,11,68.8,3.2,15,1,0,52.4,0,0,0,8,0,2,16,9,1,0,1,0,0,0,0,0,NA,NA,NA,"CD_I220056",FALSE,5,"Chris","Judd","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",2,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/293154.png?im=Scale,width=0.6,height=0.6","FPR","CD_I293154",FALSE,2,"Troy","Menzel","CD_T30",NA,83,2,1,NA,12,5,17,3,1,3,7,10,17,1,1,0,0,0,64.7,3,1,0,81,0,0,66.7,11.5,NA,"2018-01-24T05:31:21.915+0000",3,4,1,3,NA,NA,NA,5,325,1,0,1,8,66.7,2.4,11,2,1,41.2,0,0,0,6,0,2,12,5,0,0,0,0,0,1,0,0,NA,NA,NA,"CD_I293154",FALSE,2,"Troy","Menzel","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/250105.png?im=Scale,width=0.6,height=0.6","HFFL","CD_I250105",FALSE,3,"Marc","Murphy","CD_T30",NA,81,0,0,NA,9,12,21,2,0,2,9,12,21,2,0,0,0,0,66.7,3,2,0,67,1,0,0,8.6,NA,"2018-01-24T05:31:21.915+0000",4,0,0,0,NA,NA,NA,10,227,1,3,4,5,55.6,0.8,14,0,0,42.9,0,0,0,8,0,0,18,6,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I250105",FALSE,3,"Marc","Murphy","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",17,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/260278.png?im=Scale,width=0.6,height=0.6","BPR","CD_I260278",FALSE,17,"Sam","Rowe","CD_T30",NA,87,2,0,NA,6,3,9,3,0,2,4,5,9,0,1,0,5,6,66.7,1,1,0,59,1,0,100,4.8,NA,"2018-01-24T05:31:21.915+0000",0,2,0,2,NA,NA,NA,2,79,0,1,1,4,66.7,2,6,0,0,44.4,1,45.5,20,3,0,0,10,5,6,11,3,1,33.3,1,1,100,NA,NA,NA,"CD_I260278",FALSE,17,"Sam","Rowe","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",6,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/230202.png?im=Scale,width=0.6,height=0.6","INT","CD_I230202",FALSE,6,"Kade","Simpson","CD_T30",NA,90,1,0,NA,13,8,21,8,2,2,5,17,22,1,0,0,0,0,76.2,1,4,0,97,2,0,100,8.5,NA,"2018-01-24T05:31:21.915+0000",4,5,0,1,NA,NA,NA,4,269,0,0,0,9,69.2,1.6,16,0,2,22.7,0,0,0,4,0,0,10,8,0,0,0,0,0,1,0,0,NA,NA,NA,"CD_I230202",FALSE,6,"Kade","Simpson","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",25,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/298444.png?im=Scale,width=0.6,height=0.6","SUB","CD_I298444",FALSE,25,"Clem","Smith","CD_T30",NA,73,0,0,NA,7,4,11,4,1,0,3,7,10,3,0,0,0,0,63.6,3,0,1,38,0,0,0,-0.4,NA,"2018-01-24T05:31:21.915+0000",4,2,0,0,NA,NA,NA,4,228,0,0,0,3,42.9,1.8,7,0,0,30,0,0,0,3,1,1,5,2,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I298444",FALSE,25,"Clem","Smith","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",39,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/240359.png?im=Scale,width=0.6,height=0.6","WR","CD_I240359",FALSE,39,"Dale","Thomas","CD_T30",NA,1,0,0,NA,1,0,1,0,0,0,1,0,1,0,0,0,0,0,100,0,1,0,4,0,0,0,-0.1,NA,"2018-01-24T05:31:21.915+0000",0,0,0,0,NA,NA,NA,1,-7,0,0,0,1,100,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"CD_I240359",FALSE,39,"Dale","Thomas","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",42,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/292511.png?im=Scale,width=0.6,height=0.6","CHB","CD_I292511",FALSE,42,"Zach","Tuohy","CD_T30",NA,92,1,0,NA,6,3,9,5,0,0,0,9,9,0,0,0,0,1,100,0,0,0,45,2,0,100,4.2,NA,"2018-01-24T05:31:21.915+0000",1,0,0,1,NA,NA,NA,3,208,0,0,0,6,100,2,9,0,0,0,0,0,0,0,0,0,5,5,1,0,1,1,100,0,0,0,NA,NA,NA,"CD_I292511",FALSE,42,"Zach","Tuohy","home",NA,"Carlton"
"CD_M20150140101","2015-04-02T08:20:00.000+0000","CONCLUDED","Premiership","Round 1",1,"MCG","Carlton","Carlton","Richmond","Richmond",43,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2015014/270637.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I270637",FALSE,43,"Simon","White","CD_T30",NA,85,0,1,NA,8,6,14,2,0,3,7,7,14,2,1,0,0,3,64.3,0,1,0,56,0,0,0,7.2,NA,"2018-01-24T05:31:21.915+0000",3,2,0,1,NA,NA,NA,4,241,1,2,3,5,62.5,1.3,9,1,0,50,0,0,0,6,0,1,13,7,1,0,0,0,0,0,0,0,NA,NA,NA,"CD_I270637",FALSE,43,"Simon","White","home",NA,"Carlton"
