"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",3,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1015094.png?im=Scale,width=0.6,height=0.6","INT","CD_I1015094",FALSE,3,"Alice","Burke","CD_T8796",NA,63,0,0,NA,2,1,3,0,0,1,2,3,5,0,0,0,0,0,33.3,1,1,0,13,1,0,0,NA,NA,NA,1,1,0,0,NA,NA,NA,0,74,NA,0,1,1,"CD_I1015094",FALSE,3,"Alice","Burke","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",26,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1005287.png?im=Scale,width=0.6,height=0.6","INT","CD_I1005287",FALSE,26,"Leah","Cutting","CD_T8796",NA,58,0,0,NA,4,1,5,2,0,3,4,2,6,2,0,1,8,1,80,1,2,0,42,0,1,0,NA,NA,NA,1,3,0,0,NA,NA,NA,2,48,NA,0,1,1,"CD_I1005287",FALSE,26,"Leah","Cutting","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",17,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1012668.png?im=Scale,width=0.6,height=0.6","FF","CD_I1012668",FALSE,17,"Caitlin","Greiser","CD_T8796",NA,80,0,0,NA,2,2,4,2,0,1,1,4,5,0,1,1,2,1,50,2,0,1,19,0,0,0,NA,NA,NA,2,0,0,1,NA,NA,NA,2,39,NA,0,0,0,"CD_I1012668",FALSE,17,"Caitlin","Greiser","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1012705.png?im=Scale,width=0.6,height=0.6","WL","CD_I1012705",FALSE,4,"Alana","Woodward","CD_T8796",NA,71,0,0,NA,3,6,9,0,0,3,9,1,10,0,0,0,0,1,66.7,1,1,1,31,1,0,0,NA,NA,NA,2,4,1,0,NA,NA,NA,0,85,NA,1,2,3,"CD_I1012705",FALSE,4,"Alana","Woodward","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",29,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1009831.png?im=Scale,width=0.6,height=0.6","C","CD_I1009831",FALSE,29,"Tarni","White","CD_T8796",NA,79,1,0,NA,9,5,14,4,0,11,9,6,15,4,0,0,0,1,71.4,3,4,1,100,2,0,100,NA,NA,NA,3,9,1,1,NA,NA,NA,2,253,NA,0,1,1,"CD_I1009831",FALSE,29,"Tarni","White","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",25,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/997722.png?im=Scale,width=0.6,height=0.6","INT","CD_I997722",FALSE,25,"Rosie","Dillon","CD_T8796",NA,75,1,1,NA,5,5,10,1,0,6,8,3,11,2,0,0,0,0,70,3,2,1,58,1,0,50,NA,NA,NA,2,1,2,2,NA,NA,NA,2,145,NA,1,4,5,"CD_I997722",FALSE,25,"Rosie","Dillon","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1009855.png?im=Scale,width=0.6,height=0.6","HFFL","CD_I1009855",FALSE,5,"Darcy","Guttridge","CD_T8796",NA,80,0,1,NA,6,2,8,1,0,0,4,3,7,1,0,0,0,0,37.5,2,0,1,23,1,0,0,NA,NA,NA,3,1,0,1,NA,NA,NA,1,155,NA,0,1,1,"CD_I1009855",FALSE,5,"Darcy","Guttridge","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/296158.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I296158",FALSE,8,"Bianca","Jakobsson","CD_T8796",NA,85,0,0,NA,7,4,11,2,1,0,5,3,8,1,0,1,0,5,72.7,5,3,3,29,2,0,0,NA,NA,NA,2,5,0,0,NA,NA,NA,0,104,NA,0,0,0,"CD_I296158",FALSE,8,"Bianca","Jakobsson","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",14,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1014556.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I1014556",FALSE,14,"Hannah","Priest","CD_T8796",NA,76,0,0,NA,8,6,14,2,0,3,5,8,13,0,1,0,0,0,42.9,1,2,0,56,2,0,0,NA,NA,NA,2,6,0,0,NA,NA,NA,0,236,NA,0,0,0,"CD_I1014556",FALSE,14,"Hannah","Priest","home","St Kilda"
"CD_M20222640101","2022-01-07T08:15:00.000+0000","CONCLUDED","2022 NAB AFLW Season 6","Round 1",1,"Kinetic Stadium","St Kilda","St Kilda","Richmond","Richmond",11,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2022264/1010097.png?im=Scale,width=0.6,height=0.6","CHF","CD_I1010097",FALSE,11,"Isabella","Shannon","CD_T8796",NA,72,0,0,NA,4,1,5,2,0,1,3,2,5,2,0,1,0,0,40,1,1,0,25,0,0,0,NA,NA,NA,3,1,1,1,NA,NA,NA,0,108,NA,0,0,0,"CD_I1010097",FALSE,11,"Isabella","Shannon","home","St Kilda"
