"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",12,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1006994.png?im=Scale,width=0.6,height=0.6","INT","CD_I1006994",FALSE,12,"Laura","Bailey","CD_T8788",NA,70,0,0,NA,4,5,9,1,0,1,4,5,9,2,0,0,0,1,77.8,5,0,3,20,0,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",4,3,0,0,NA,NA,NA,0,130,NA,0,0,0,"CD_I1006994",FALSE,12,"Laura","Bailey","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1014882.png?im=Scale,width=0.6,height=0.6","FPR","CD_I1014882",FALSE,16,"Laura","McClelland","CD_T8788",NA,75,0,1,NA,1,4,5,0,0,4,1,4,5,0,0,0,1,1,80,2,0,1,26,0,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",2,1,0,1,NA,NA,NA,1,55,NA,0,0,0,"CD_I1014882",FALSE,16,"Laura","McClelland","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",1,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1013020.png?im=Scale,width=0.6,height=0.6","INT","CD_I1013020",FALSE,1,"Sophie","Molan","CD_T8788",NA,78,0,0,NA,2,1,3,1,0,3,1,2,3,0,0,0,0,0,33.3,0,0,0,23,0,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",0,1,0,0,NA,NA,NA,1,32,NA,0,0,0,"CD_I1013020",FALSE,1,"Sophie","Molan","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",34,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1017027.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I1017027",FALSE,34,"Akec","Makur Chuot","CD_T8788",NA,92,0,0,NA,6,3,9,2,0,3,2,4,6,0,0,0,0,6,33.3,4,0,1,39,6,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",4,4,0,0,NA,NA,NA,0,226,NA,0,0,0,"CD_I1017027",FALSE,34,"Akec","Makur Chuot","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",2,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/997659.png?im=Scale,width=0.6,height=0.6","CHB","CD_I997659",FALSE,2,"Phoebe","Monahan","CD_T8788",NA,100,0,0,NA,14,0,14,2,0,8,4,3,7,0,0,0,0,4,71.4,5,4,2,78,9,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",6,6,0,0,NA,NA,NA,1,394,NA,0,0,0,"CD_I997659",FALSE,2,"Phoebe","Monahan","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",11,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1012694.png?im=Scale,width=0.6,height=0.6","RK","CD_I1012694",FALSE,11,"Alice","Edmonds","CD_T8788",NA,66,0,0,NA,1,4,5,0,0,2,3,2,5,0,0,0,6,0,60,3,1,3,17,1,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",2,1,1,0,NA,NA,NA,0,8,NA,0,0,0,"CD_I1012694",FALSE,11,"Alice","Edmonds","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",15,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1017023.png?im=Scale,width=0.6,height=0.6","BPL","CD_I1017023",FALSE,15,"Rebecca","Miller","CD_T8788",NA,79,0,0,NA,5,3,8,1,0,4,4,4,8,0,0,0,0,1,50,2,2,0,42,4,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",3,3,0,0,NA,NA,NA,0,146,NA,0,0,0,"CD_I1017023",FALSE,15,"Rebecca","Miller","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",18,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1013513.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1013513",FALSE,18,"Sarah","Sansonetti","CD_T8788",NA,81,0,0,NA,1,4,5,0,0,10,3,2,5,0,0,0,0,4,60,1,1,0,52,0,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",2,4,0,0,NA,NA,NA,0,43,NA,0,0,0,"CD_I1013513",FALSE,18,"Sarah","Sansonetti","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1012704.png?im=Scale,width=0.6,height=0.6","FF","CD_I1012704",FALSE,8,"Courtney","Wakefield","CD_T8788",NA,77,1,0,NA,8,0,8,7,0,1,2,5,7,1,3,2,0,0,75,1,0,0,55,0,0,50,NA,NA,"2020-02-09T23:53:32.430+0000",2,1,0,2,NA,NA,NA,1,118,NA,0,0,0,"CD_I1012704",FALSE,8,"Courtney","Wakefield","home","Richmond"
"CD_M20202640101","2020-02-07T08:45:00.000+0000","CONCLUDED","2020 NAB AFLW Season","Round 1",1,"IKON Park","Richmond","Richmond","Carlton","Carlton",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2020264/1006990.png?im=Scale,width=0.6,height=0.6","INT","CD_I1006990",FALSE,7,"Lauren","Tesoriero","CD_T8788",NA,36,0,0,NA,2,2,4,0,0,2,2,2,4,0,0,0,0,0,75,2,0,2,12,1,0,0,NA,NA,"2020-02-09T23:53:32.430+0000",1,1,0,0,NA,NA,NA,0,48,NA,0,1,1,"CD_I1006990",FALSE,7,"Lauren","Tesoriero","home","Richmond"
