"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",15,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1005863.png?im=Scale,width=0.6,height=0.6","RK","CD_I1005863",FALSE,15,"Lauren","Pearce","CD_T7386",NA,64,0,0,NA,1,4,5,1,0,2,4,2,6,0,0,0,25,1,80,0,0,0,47,0,0,0,NA,NA,NA,0,1,0,0,NA,NA,NA,3,-4,NA,0,1,1,"CD_I1005863",FALSE,15,"Lauren","Pearce","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",24,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1014904.png?im=Scale,width=0.6,height=0.6","INT","CD_I1014904",FALSE,24,"Megan","Fitzsimon","CD_T7386",NA,64,0,0,NA,4,4,8,0,0,1,3,5,8,2,0,0,0,2,87.5,0,0,0,24,0,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,3,35,NA,0,2,2,"CD_I1014904",FALSE,24,"Megan","Fitzsimon","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1014367.png?im=Scale,width=0.6,height=0.6","HFFR","CD_I1014367",FALSE,16,"Alyssa","Bannan","CD_T7386",NA,84,3,0,NA,9,8,17,2,0,1,7,9,16,2,1,1,0,1,70.6,3,1,0,72,0,1,100,NA,NA,NA,3,4,0,3,NA,NA,NA,6,246,NA,0,0,0,"CD_I1014367",FALSE,16,"Alyssa","Bannan","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1007157.png?im=Scale,width=0.6,height=0.6","BPL","CD_I1007157",FALSE,9,"Libby","Birch","CD_T7386",NA,100,0,0,NA,2,1,3,1,0,5,0,3,3,0,0,0,0,3,33.3,1,0,0,31,0,0,0,NA,NA,NA,1,0,0,0,NA,NA,NA,0,44,NA,0,0,0,"CD_I1007157",FALSE,9,"Libby","Birch","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",17,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1014793.png?im=Scale,width=0.6,height=0.6","FB","CD_I1014793",FALSE,17,"Tahlia","Gillard","CD_T7386",NA,100,0,0,NA,5,2,7,2,0,1,3,1,4,0,0,1,0,5,71.4,1,0,0,29,2,0,0,NA,NA,NA,3,5,0,0,NA,NA,NA,0,141,NA,0,0,0,"CD_I1014793",FALSE,17,"Tahlia","Gillard","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1007011.png?im=Scale,width=0.6,height=0.6","WL","CD_I1007011",FALSE,8,"Sarah","Lampard","CD_T7386",NA,81,0,0,NA,8,4,12,0,0,4,5,4,9,2,0,0,0,1,58.3,3,0,0,48,3,0,0,NA,NA,NA,4,3,0,0,NA,NA,NA,1,202,NA,0,0,0,"CD_I1007011",FALSE,8,"Sarah","Lampard","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",30,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1012713.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1012713",FALSE,30,"Shelley","Heath","CD_T7386",NA,86,2,1,NA,7,4,11,2,0,11,7,6,13,0,0,0,0,2,72.7,0,2,0,94,0,0,66.7,NA,NA,NA,1,2,0,3,NA,NA,NA,4,142,NA,1,2,3,"CD_I1012713",FALSE,30,"Shelley","Heath","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",29,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1009764.png?im=Scale,width=0.6,height=0.6","FF","CD_I1009764",FALSE,29,"Eden","Zanker","CD_T7386",NA,80,2,3,NA,8,1,9,5,0,3,3,5,8,1,4,1,0,0,55.6,2,0,1,65,0,0,40,NA,NA,NA,2,1,1,5,NA,NA,NA,7,133,NA,0,0,0,"CD_I1009764",FALSE,29,"Eden","Zanker","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",1,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1019713.png?im=Scale,width=0.6,height=0.6","INT","CD_I1019713",FALSE,1,"Georgia","Campbell","CD_T7386",NA,41,1,0,NA,1,3,4,1,0,3,2,3,5,0,1,0,16,3,100,1,0,1,43,0,1,100,NA,NA,NA,0,0,0,1,NA,NA,NA,3,28,NA,0,2,2,"CD_I1019713",FALSE,1,"Georgia","Campbell","home","Melbourne"
"CD_M20232640101","2023-09-01T09:20:00.000+0000","CONCLUDED","2023 NAB AFLW Season","Round 1",1,"IKON Park","Melbourne","Melbourne","Collingwood","Collingwood",23,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2023264/1018966.png?im=Scale,width=0.6,height=0.6","HBFR","CD_I1018966",FALSE,23,"Sinead","Goldrick","CD_T7386",NA,77,0,0,NA,3,2,5,1,0,5,4,1,5,0,0,1,0,2,40,5,1,2,31,2,0,0,NA,NA,NA,3,2,0,0,NA,NA,NA,0,73,NA,0,1,1,"CD_I1018966",FALSE,23,"Sinead","Goldrick","home","Melbourne"
