"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","extendedStats","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","team.name"
"CD_M20212640401","2021-02-19T08:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"RSEA Park","St Kilda","St Kilda","Geelong Cats","Geelong Cats",10,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1013933.png?im=Scale,width=0.6,height=0.6","WR","CD_I1013933",FALSE,10,"Georgie","Rankin","CD_T8467",NA,74,1,0,NA,7,2,9,2,0,1,5,4,9,0,0,0,0,0,66.7,0,1,0,42,0,0,100,NA,NA,"2021-02-24T04:00:12.721+0000",3,2,0,1,NA,NA,NA,1,124,NA,1,1,2,"CD_I1013933",FALSE,10,"Georgie","Rankin","away","Geelong Cats"
"CD_M20212640401","2021-02-19T08:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"RSEA Park","St Kilda","St Kilda","Geelong Cats","Geelong Cats",28,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009854.png?im=Scale,width=0.6,height=0.6","INT","CD_I1009854",FALSE,28,"Denby","Taylor","CD_T8467",NA,67,0,0,NA,6,3,9,3,0,1,5,3,8,1,0,1,0,0,66.7,3,1,0,38,1,0,0,NA,NA,"2021-02-24T04:00:12.721+0000",5,7,1,0,NA,NA,NA,0,146,NA,0,0,0,"CD_I1009854",FALSE,28,"Denby","Taylor","away","Geelong Cats"
"CD_M20212640401","2021-02-19T08:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"RSEA Park","St Kilda","St Kilda","Geelong Cats","Geelong Cats",21,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009860.png?im=Scale,width=0.6,height=0.6","C","CD_I1009860",FALSE,21,"Rebecca","Webster","CD_T8467",NA,78,0,0,NA,16,8,24,8,0,3,7,17,24,3,1,0,0,0,79.2,1,0,0,100,2,0,0,NA,NA,"2021-02-24T04:00:12.721+0000",6,2,0,0,NA,NA,NA,1,373,NA,1,1,2,"CD_I1009860",FALSE,21,"Rebecca","Webster","away","Geelong Cats"
"CD_M20212640401","2021-02-19T08:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"RSEA Park","St Kilda","St Kilda","Geelong Cats","Geelong Cats",25,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1012967.png?im=Scale,width=0.6,height=0.6","INT","CD_I1012967",FALSE,25,"Stephanie","Williams","CD_T8467",NA,55,0,0,NA,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,3,0,2,-2,0,0,0,NA,NA,"2021-02-24T04:00:12.721+0000",1,0,1,0,NA,NA,NA,0,60,NA,0,0,0,"CD_I1012967",FALSE,25,"Stephanie","Williams","away","Geelong Cats"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",4,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009885.png?im=Scale,width=0.6,height=0.6","R","CD_I1009885",FALSE,4,"Madison","Prespakis","CD_T8096",NA,78,2,0,NA,11,8,19,1,0,5,8,11,19,2,0,0,0,0,73.7,3,3,1,84,2,0,66.7,NA,NA,"2021-02-24T04:00:45.147+0000",5,2,0,3,NA,NA,NA,5,287,NA,2,2,4,"CD_I1009885",FALSE,4,"Madison","Prespakis","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",21,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998164.png?im=Scale,width=0.6,height=0.6","CHF","CD_I998164",FALSE,21,"Nicola","Stevens","CD_T8096",NA,95,1,0,NA,6,3,9,5,0,2,4,5,9,3,1,1,0,3,77.8,0,0,0,53,0,1,50,NA,NA,"2021-02-24T04:00:45.147+0000",0,0,0,2,NA,NA,NA,4,90,NA,0,0,0,"CD_I998164",FALSE,21,"Nicola","Stevens","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",8,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1012595.png?im=Scale,width=0.6,height=0.6","HBFL","CD_I1012595",FALSE,8,"Vaomua","Laloifi","CD_T8096",NA,86,0,0,NA,2,6,8,1,0,0,4,4,8,0,0,0,0,0,62.5,2,0,1,18,2,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",2,5,0,0,NA,NA,NA,0,43,NA,0,0,0,"CD_I1012595",FALSE,8,"Vaomua","Laloifi","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",46,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/998147.png?im=Scale,width=0.6,height=0.6","RR","CD_I998147",FALSE,46,"Elise","O'Dea","CD_T8096",NA,78,0,0,NA,10,1,11,3,0,3,6,6,12,1,1,0,0,1,81.8,1,3,1,53,3,1,0,NA,NA,"2021-02-24T04:00:45.147+0000",0,1,1,0,NA,NA,NA,3,228,NA,0,1,1,"CD_I998147",FALSE,46,"Elise","O'Dea","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",20,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1009880.png?im=Scale,width=0.6,height=0.6","CHB","CD_I1009880",FALSE,20,"Charlotte","Wilson","CD_T8096",NA,97,0,0,NA,4,6,10,2,0,1,5,5,10,0,0,1,0,3,80,0,0,0,34,1,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",1,6,0,0,NA,NA,NA,1,37,NA,0,0,0,"CD_I1009880",FALSE,20,"Charlotte","Wilson","home","Carlton"
"CD_M20212640402","2021-02-20T04:10:00.000+0000","CONCLUDED","2021 NAB AFLW Season","Round 4",4,"IKON Park","Carlton","Carlton","Richmond","Richmond",23,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2021264/1015105.png?im=Scale,width=0.6,height=0.6","WR","CD_I1015105",FALSE,23,"Daisy","Walker","CD_T8096",NA,67,0,0,NA,4,3,7,1,0,4,3,4,7,0,0,1,0,2,85.7,1,1,1,35,2,0,0,NA,NA,"2021-02-24T04:00:45.147+0000",1,4,0,0,NA,NA,NA,2,-13,NA,0,0,0,"CD_I1015105",FALSE,23,"Daisy","Walker","home","Carlton"
